Name,Type,Website,Location,City,Hours,Comments,How to Help This Business,Dine-In,Outdoor Dining,Outdoor Recreation,Outdoor Retail,Outdoor Services,Gift Cards,Delivery,Take-Out,Order Online,NoCoNosh,DoorDash,GrubHub,Postmates,Bottles,Cans,Crowlers,Growlers,Product Options,Availability,meta_row_index,meta_row_id,GPS Location
Churn Ice Cream,,,234 N COLLEGE AVE,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,72,1c92b6e89f880b3c7be31d1edc9f8e53e4904181,POINT (-105.07690500000001 40.589767)
HK High Kicks LLC,Entertainment & Recreation,https://www.hkhighkicks.com,PO Box 2324,Fort Collins,7 days a week 8am-6pm,,"Send loved ones an online gift card or holiday wellness gift from HK. Connect with HK and comment on social media posts @hkhighkicks. Refer HK to your friends for yoga, wellness and gemstones.",,,,,,true,true,,true,,,,,,,,,Gift Cards,"Delivery, Order Online",175,998f9884590479f1775c2bc54821b10b2a8da6b1,
Staples,Retail,,,Fort Collins,,"Contact us at 970-377-3004. Staples is open for instore shopping or curbside service.  We currently stock all of your business printing or PPE needs for reopening.  Come see us for PPE products, menus, floor directional decals, banners, lawn stake signs, direct mail, in store signage, cleaning products etc. Currently 20% off menu printing for Fort Collins restaurants",,,,,,,,,,,,,,,,,,,,,387,61c815fc66e73881b5e321f1576a4df2db73c5fc,POINT (-105.082459 40.588972)
Pho Little Saigon,Restaurant/Bar,https://www.facebook.com/Little-Saigon-Cafe-in-Fort-Collins-165798350180295/,3500 S College Ave #14,Fort Collins,11am-9pm closed Wed+Sun,REOPENED!,,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",315,5855cdb139e48864fcf1eb237a2ee1dba60d542b,POINT (-105.076986 40.539367)
United Way of Larimer County,"Family, Community & Non-Profit",https://uwaylc.org,525 W Oak St,Fort Collins,8am - 5pm,"Contact us at 970-407-7000. Continues to serve the community.  Nonprofits responding to COVID-19 effects may apply for grants here. UWLC has transformed its homepage into a one-stop resource page for residents. United Way of Larimer County and the Community Foundation have joined forces to address the unprecedented need among local nonprofits through a Northern Colorado COVID-19 Response Fund.  If you can give, please consider a donation. https://uwaylc.org/Post/COVID-19   Fund: https://uwaylc.org/Post/COVID-19",To find Resources please go to https://uwaylc.org/Get-Help or  https://www.211colorado.org/  To Volunteer please go to https://www.nocovolunteers.org/  To support your Community please go to https://uwaylc.org/  Stay Well!,,,,,,,,,,,,,,,,,,,,447,0eb257dedf91327b0e7c671b471e26e19de84590,POINT (-105.085587 40.585645)
Firehouse Subs,Restaurant/Bar,http://www.firehousesubs.com,1856 N College Ave,Fort Collins,,,,,,,,,,true,,,,true,true,,,,,,,"Delivery, DoorDash, GrubHub",143,3fa88f1a45d8388b1d26d903c05f1006735271fb,POINT (-105.076428 40.612057)
Brown's Shoe Fit,Retail,http://fortcollinsshoes.com/,"3500 S COLLEGE AVE, SUITE 184",Fort Collins,"Monday- Friday10-7, Saturday 10-6,  Sunday 12-5",,Like us on Facebook @BrownsShoeFitCoFtCo. Buy Gift cards. You can do a Facetime call and shop virtually,,,,,,true,true,,true,,,,,,,,,Gift Cards,"Delivery, Order Online",43,f80449f3f2eda3be5c4b9bd54b87cc93fbd19fff,POINT (-105.076986 40.539367)
Lucille's,Restaurant/Bar,https://www.luciles.com/,400 S Meldrum,Fort Collins,,970-224-5464 limited menu,,,,,,,,,,,,,,,,,,,,,250,10e463640502f2b930f64335d892bdf973ce54c9,POINT (-105.082491 40.582668)
Welsh Rabbit Cheese Bistro,,,200B Walnut Street,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,466,8421ddc5cd8331785d47740c685a99e4745de8fc,POINT (-105.076488 40.588845)
La Creperie & Bakery of Fort Collins,Restaurant/Bar,http://www.fortcollinscreperiebakery.com,2722 S College Ave,Fort Collins,Reopening 4/30,"Bakery side only, cash only",,,,,,,,,true,,,,,,,,,,,Take-Out,231,37f26111b2610f8fd07bfda960a5bf8dd4ac2c02,POINT (-105.07694 40.54910400000001)
Urban egg,Restaurant/Bar,https://www.urbaneggeatery.com/,230 S College Ave,Fort Collins,"Mon-Fri 8am-1pm, Sat-Sun 8:55am-1pm",,,,,,,,true,,true,,,true,,,,,,,Gift Cards,"DoorDash, Take-Out",451,b0a3df2693a258e6149be90894c48e7a1bb1773c,POINT (-105.076931 40.58458)
Conduct All Electric,Business & Professional,,7352 Greenridge Rd A2,Windsor,,"Contact us at 970-631-4148. Provides electrical service in your home or business. During these times we want to support you as best as we can by making sure you don't lose any downtime and all of your everyday essentials are working in your business or home. Our field techs will be protected with masks, gloves, and sanitizer to keep you safe. Reach out to us at anytime and we will take care of you. We pride ourselves on taking care of our customers and now is no different. Call us today!",,,,,,,,,,,,,,,,,,,,,87,bfec81c3babe1953c7c05811938fd0f6c8f9bf8e,POINT (-104.965368 40.438885)
Your Medicare and Financial Mentor,Financial,,2300 Ponderosa Ct,Fort Collins,,Contact us at 970-690-5328. Your Medicare and Financial Mentor. Open from 9am. -6pm M-F or by Appointment during off hours. Free Medicare and/or Financial Consultation by phone or virtual appointments. Call Brenda directly at 970-690-5328.,,,,,,,,,,,,,,,,,,,,,483,7aeaca789c8123a9f671f9c048aef462e4edd49b,POINT (-105.119792 40.580551)
Intersect Brewing,Brewery,http://www.intersectbrewing.com/,,Fort Collins,,"3-6 wkdays, 11-4 wknds, discounted gift card promo ($75 card for $50)",,,,,,,true,true,true,,,,,,,true,true,true,"Cans, Crowlers, Gift Cards, Growlers","Delivery, Take-Out",203,40a080b3fe41a96b6f0c907dd2edff3a818e8e9a,POINT (-105.082459 40.588972)
Joy Organics,,,119 West Oak Street,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,218,b2e3e35c98bb01eb6f6b1bda0b091cb49cca937b,POINT (-105.07792 40.58564)
Dae Gee,Restaurant/Bar,https://www.daegee.com/,120 W Olive St Unit 101,Fort Collins,Call for hours (970) 893-4917,,,,,,,,,,,,,true,,true,,,,,,"DoorDash, Postmates",104,201fe0e9135642aca150471edfcfa6a035918539,POINT (-105.078128 40.584249)
Silver Grill,Restaurant/Bar,http://www.silvergrill.com/,218 Walnut,Fort Collins,Daily - 8am to 1pm,"Contact us at 970-484-4656. We will continue offering takeout for pick-up at our to-go window or curbside, as well as delivery through NOCO Nosh. Finally, our updated hours are now 8 am - 1 pm Monday through Sunday. We are excited to continue serving your Silver Grill favorites & want to thank the community for your continued support, patronage, & encouragement. Wishing you & your family safety & good health.",How to help this business:,,true,,,,true,true,true,,,,,,,,,,Gift Cards,"Delivery, Outdoor Dining, Take-Out",369,ea3d629f01e8f7205dc19cc32c7d7a6a3f55b9ba,POINT (-105.07624800000002 40.588665)
Pizza Vino,Restaurant/Bar,http://www.pizzavinonoco.com,6383 Fairgrounds Ave. #100,Windsor,Monday -Thursday 4pm-8pm Friday-Sunday 11am-8pm,"Contact us at 970-617-2547. Now open for dine-in. Outdoor dining is still avalibale, as well as to go, and curbside pick up. Place your order for takeout TODAY by calling 970-617-2547 or order online.","Purchase a gift card or bottle of wine, or order to go",,,,,,true,,true,true,,,,,,,,,Gift Cards,"Order Online, Take-Out",320,00a093c2fea5cb667098d3d19b87026e992827ea,POINT (-104.982724 40.457414)
Board & Brush,,,244 N COLLEGE AVE Unit 115,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,40,61d2c5df342f74eef607fac0fb2365b8db520b1e,POINT (-105.0769 40.590097)
Otto PINT Fort Collins,Restaurant/Bar,,1100 Oakridge Dr.,Fort Collins,,Contact us at 970-226-1464. We are open! Call 970-226-1464 for a reservation / curbside pickup OR order delivery online from Noco Nosh.,,,,,,,,true,true,true,,,,,,,,,,"Delivery, Order Online, Take-Out",305,5c97a15e4ca9f4549e5343af2fe18bb0ec645d3f,POINT (-105.057654 40.521062)
Becky Johnson Cert. Medical Support - Clinical Hypnotherapist,Health & Wellness,,2627 Redwing Rd,Fort Collins,,"Contact us at 970-313-3253. Offering virtual hypnotherapy sessions that are secure and HIPAA compliant. As long as there is a quiet place with no interruptions and a good video and audio connection on a computer, virtual sessions are just as effective as in person. Working virtually creates more flexibility in scheduling.  Accepting credit cards only.",,,,,,,,,,,,,,,,,,,,,26,406d2103d67e5cf057340171aeb1454d34caf004,POINT (-105.080795 40.550563)
Matador Mexican Grill,Restaurant/Bar,https://www.matadorgrill.com/,1823 E Harmony Rd,Fort Collins,Mon-Fri: 7am-9pm. Sat-Sun: 8am-9pm,REOPENED!,,,,,,,true,,true,,true,,,,,,,,Gift Cards,"NoCoNosh, Take-Out",258,fdc1e0065bd66690f021531c236df1742e521633,POINT (-105.043163 40.523357)
Front Range Event Rental,Business & Professional,,"3800 Weicker Dr, Unit 2",Fort Collins,,Contact us at 970-221-3159. Still open and now is the time to start planning your Fall events - the best part is we can go through the entire reservation process over the phone and email keeping everyone safe!,,,,,,,,,,,,,,,,,,,,,158,53a5dfa4ee51da5dbad70b06161eac383c308768,POINT (-105.005902 40.583498)
Road34,Restaurant/Bar,http://www.road34.com,1213 W Elizabeth St,Fort Collins,12pm-12am,(970) 221-3434. REOPENED!,,,,,,,,,true,,,true,,,,,,,,"DoorDash, Take-Out",352,ff0a0b3e0fb5bfeedda39336e939111f1749f81f,POINT (-105.099155 40.574623)
Suehiro Japanese Restaurant,Restaurant/Bar,http://www.suehirojapaneserestaurant.com/,"4431 Corbett Dr, suite 104",Fort Collins,"Sun-Thurs 11-8:30, Fri-Sat 11-9",We offer alcohol for take-out,https://www.facebook.com/SuehiroFC/,,,,,,true,true,true,,true,,,,,,,,Gift Cards,"Delivery, NoCoNosh, Take-Out",391,2fe9c39d9174ff0488573d937438077aabc7998c,POINT (-105.02677400000002 40.525087)
Hibachi,Restaurant/Bar,http://masahibachisushi.com/,1051 W Horsetooth,Fort Collins,Mon. - Thurs.: 11:00 am - 2:30 pm; 4:00 pm - 10:00 pm Fri.: 11:00 am - 2:30 pm; 4:00 pm - 11:00 pm Saturday.: 11:00 am - 11:00 pm Sunday: 12:00 pm - 10:00 pm,,How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,186,e4cf32b09e9f5a9b8cf61b912d5f46f2e6c0a0fc,POINT (-105.095802 40.538086)
CarHop,Auto,https://www.carhop.com/carhop-auto-sales-of-ft-collins/,1437 E Mulberry St,Fort Collins,"Monday - Friday, 10 am - 6pm, Saturdays 10 am - 5 pm","We sell used vehicles. We have no minimum required down payment. We have nearly 50 locations nationwide, but we are operated locally. We are an equal opportunity employer that strives to be respectful to people of all backgrounds; our staff members are minorities, LGBTQ+, and women.",1. Please rate us on Google  2. Come see us if you're in need of a vehicle; even if you have bad/no credit!,,,,,,,,,,,,,,,,,,,,55,3b8dea3d332d8c3d175ee1e37f71ef1f1d2cbddc,POINT (-105.050497 40.580981)
Doug's Day Diner,Restaurant/Bar,http://fortcollins.dougsdaydiner.com/,2842 Council Tree Ave,Fort Collins,7am-1:30pm,(970) 377-2660,,,,,,,,,,,,true,,true,,,,,,"DoorDash, Postmates",114,af4b5a83bf57b7df29dc9ea4301a0149a5b7f463,POINT (-105.024194 40.525462)
Thai Station,Restaurant/Bar,https://www.thaistationfortcollins.com/,626 S College Ave,Fort Collins,"Mon-Fri 11am-2pm & 4-9pm, Sat/Sun 12-9pm",Pickup and delivery (970) 797-2707,,,,,,,true,true,true,,,true,true,,,,,,Gift Cards,"Delivery, DoorDash, GrubHub, Take-Out",402,f9ebe61cc3c8663eb2599a15fff36871dbe1f7ae,POINT (-105.076978 40.579054)
Good Day Pharmacy,Health & Wellness,,,Fort Collins,,Contact us at 970-225-1234. Takes Prescription Pick-up Curbside.,,,,,,,,,,,,,,,,,,,,,171,50bf1e6a489bbddb87821fcd70d92c25643cbf4a,POINT (-105.082459 40.588972)
The Marmot,Restaurant/Bar,http://www.facebook.com/pages/category/Dive-Bar/The-Marmot-Fort-Collins-548044442297057/,829 S Shields St 100,Fort Collins,Daily: 4pm-12am,,How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,419,7ef2f268d97a4513521fe1fc137cd5d55ba2934e,POINT (-105.095963 40.575089)
Bas Bleu,,,"401 Pine St, Fort Collins, CO 80524",Fort Collins,,,,,,,,,,,,,,,,,,,,,,,23,26cc6ff81e002e812ab3dd3ff523b00b03333dab,
All Sales Vinyl,,,120 S. College Ave.,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,8,81594c87cc7ee25ce3abc529ed41a98f5c8e02d9,POINT (-105.076922 40.586457)
"Coffee Stop, The",,,mobile coffee truck,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,75,94cbe0443a9a6538c3bfc7cef9ecacd84b13ede8,
Odell Brewing Co,Brewery,https://focobeer.odellbrewing.com/,800 Lincoln Ave,Fort Collins,,"Order online, pick up Friday-Sunday, 12:00-7:00 curbside in West Parking Lot. Check website for special releases",,,,,,,true,,true,,,,,,true,true,true,,"Bottles, Cans, Crowlers, Gift Cards",Take-Out,291,f35fa7df36bb87bcc47589bc72d99cc642fa5154,
Eger CPA,Business & Professional,,"2726 Illinois Dr, Ste 201",Fort Collins,,"Contact us at 970-223-4913. Continues to provide full service accounting, tax, and payroll for our entrepreneurial clients. Open Monday thru Friday from 9am - 5pm.",,,,,,,,,,,,,,,,,,,,,119,698d4a0077172775d0c1a0a6062d9ee8d5653777,POINT (-105.03674200000002 40.550544)
"Carole's Commercial Cleaning, Inc.","Construction, Trades & Landscaping",https://www.carolescommercialcleaning.com/,"1532 E. Mulberry St, unit C",Fort Collins,Always available,,"We have the proper CDC-approved disinfectants, protective gear and specialized equipment to rapidly and thoroughly apply disinfectant to all surfaces with minimal contact.",,,,,,,,,,,,,,,,,,,,58,960414994cc7eb23b915b279c1789a9ade379b8b,POINT (-105.048832 40.581418)
Snooze an A.M Eatery,Restaurant/Bar,https://www.snoozeeatery.com/branches/1708/snooze-ft-collins/,144 W Mountain Ave,Fort Collins,,,,,,,,,,true,,,,true,,,,,,,,"Delivery, DoorDash",379,8f5222e1bc9d54b0fa877b8b6ff78da2d013b449,POINT (-105.078219 40.587106)
Learning Express Toys of Fort Collins,Retail,,4357 Corbett Drive,Fort Collins,,"Contact us at 970-282-6501. Open to the public daily 10am to 5pm. Curbside pickup, delivery, and shipping still available! View our catalog online at learningexpress.com/stores/ft-collins/?store=111. We will call you for payment.",,,,,,,,true,true,true,,,,,,,,,,"Delivery, Order Online, Take-Out",235,99c5be30e1c25b86a53327c04b54a547deaa9d19,POINT (-105.026784 40.525602)
Loveland Aleworks,Brewery,http://www.lovelandaleworks.com/,118 West 4th Street,Loveland,,"Open daily 11-7. Curbside pickup available, $30 minimum order for delivery. Order by 3:45pm for 4-7pm Delivery.  See website for delivery area.",,,,,,,,true,true,,,,,,,true,true,,"Cans, Crowlers","Delivery, Take-Out",246,61d5b73a942de8a9a62b6e0faa74ea60cfb10c38,POINT (-105.077478 40.395497)
Toast Coffee and Wine Bar,Restaurant/Bar,,205 4th Street,Windsor,,"Contact us at 970-460-9123. Visit us for curbside pickup, to-go orders, or outdoor dining! Shop inside while you wait for your food, coffee, or wine! Mon: 8am - 2pm Tue-Thur: 8am - 6pm Fri: 8am - 8pm Sat: 8am - 6pm Sun: Closed",,,,,,,,,true,,,,,,,,,,,Take-Out,434,2bf15bbb2df83ba211444374763cb5b341990045,POINT (-104.902287 40.479644)
Jason's Deli,Restaurant/Bar,http://Jasonsdeli.com,1538 E Harmony Road,Fort Collins,,"Contact us at 970-204-9203. Offering dine-in, curbside pickup, and delivery. If you'd rather have your meal delivered, or you have a big event planned, contact us at 970-204-9203. You can also create a group order online, so you can ensure each person receives exactly what they want.",,,,,,,,true,true,true,,true,true,,,,,,,"Delivery, DoorDash, GrubHub, Order Online, Take-Out",207,222bee32f0b2db75d5c2a75fa3393e113c844218,POINT (-105.049715 40.523709)
Workwell Occupational Medicine,Business & Professional,,"1600 Specht Point Rd, Ste 115",Fort Collins,,"Contact us at (303) 746-7982. Workwell Occupational Medicine Clinics continue to operate during business hours 8am-5pm. If you're experiencing flu-like symptoms and need a worker's comp initial or follow-up visit, please schedule a WWeCare Telemed appointment by calling your local Workwell Clinic. If you have been exposed to someone with known coronavirus or someone with a suspected case of coronavirus, do not come into the clinic - we are happy to schedule a Telemed visit with you.",,,,,,,,,,,,,,,,,,,,,479,6b37529368f9e9392c149f8167248cb92496fa5d,POINT (-105.035676 40.566718)
Mountain Avenue Market,,,250 E. Mountain Ave,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,272,4db8dd46ec13bdd74630e7fd7d05e99cf11b1035,POINT (-105.07508 40.587108)
Spoons,Restaurant/Bar,http://espoons.com/,320 S. Link Lane,Fort Collins,10a-9p (varies by location),"Contact us at 970-493-6800. Spoons Old Town is open Monday-Saturday from 10am-4pm. Stop in and have a seat, we are Level Up Certified and offer indoor dining! We have plenty of other options from takeout to Online Ordering for pickup, curbside, and delivery through NOSH and DoorDash. Need something larger? Call our catering line and schedule Virtual Catering or Boxed Lunch meals today!",Please support our small family business by ordering online and using our curbside or in-store pickup options! Shop local this season and share the gift of a home cooked meal- purchase a Spoons gift card today!,,,,,,true,true,true,true,true,,true,,,,,,Gift Cards,"Delivery, GrubHub, NoCoNosh, Order Online, Take-Out",384,04610684d98d921efc9366ac21db888df4fc87cf,POINT (-105.050149 40.585211)
Residence Inn Fort Collins,Hospitality,,1127 Oakridge Dr,Fort Collins,,"Contact us at 970-223-5700. Open. Our hotel features in-room kitchens, free wifi, free parking, free onsite laundry and pool.  Great for staycations and pets are welcome (pet fee applies)!!  Please call 970-223-5700 for reservations!",,,,,,,,,,,,,,,,,,,,,347,470aab917616d9f999e13c8d7eb3365d11039c66,POINT (-105.056552 40.521393)
Colorado State University,"Family, Community, and Non-Profit",,"102 Administration Building
0100 Campus Delivery",Fort Collins,,"All students and employees are expected and required to report any COVID-19 symptoms to the university immediately, as well as report exposures or positive tests from a non-CSU testing location",,,,,,,,,,,,,,,,,,,,,82,8e623f95f3493ffa38cc7b7f52d7a2e50e4401b2,
Jersey Mikes,Restaurant/Bar,https://www.jerseymikes.com/22007/fort-collins-co,"4709 S Timberline Rd, #103",Fort Collins,,(970) 226-6453,,,,,,,,,,,,,,,,,,,,,214,40a208cb8814f0c521c3ed271665e505bd896f87,POINT (-105.039419 40.521671)
Noodles and Company,Restaurant/Bar,https://www.noodles.com/,3519 S College Ave,Fort Collins,,,,,,,,,,true,,,,true,true,,,,,,,"Delivery, DoorDash, GrubHub",288,3fdc9b773128c6a71f1548a619699dd154986184,POINT (-105.07716500000001 40.539247)
Fort Collins Family Acupuncture,Health & Wellness,http://ftcollinsfamilyacupuncture.com,"1030 Centre AVE, STE B",Fort Collins,9am-6pm M-F,,Please rate us on Google - https://g.page/AcupunctureFortCollins/review?rc  Give the gift of Acupuncture - we offer gift certificates.,,,,,,true,,,,,,,,,,,,Gift Cards,,151,3504ff20e95e0121aa1ebc5b79ee6265ef18bce9,POINT (-105.095114 40.555494)
"Pickle Barrel, The",Restaurant/Bar,http://picklebarrelfc.com/,122 W Laurel St,Fort Collins,10am-7pm,,,,,,,,,,true,,,,,true,,,,,,"Postmates, Take-Out",316,2b4c86fcb962d76cb9ae3ebe020bcf11efe8baed,POINT (-105.07833 40.578094)
Timnath Beerwerks,Restaurant/Bar,http://www.timnathbeerwerks.com,4138 Main Street,Timnath,12-8,Contact us at 970-999-5751. We are currently open for dine-in pints at the taproom as well as offering a wide variety of convenient beer to-go.,"Please like, follow and share our FB and Instagram posts. Purchase a gift card or Beer To Go for a friend Come visit and check out our cool space. We have a large patio and tent with heaters and blankets available.  Dress warm and come enjoy a pint with us!",,true,,,,true,true,true,true,,,,,true,,true,true,"Bottles, Crowlers, Gift Cards, Growlers","Delivery, Order Online, Outdoor Dining, Take-Out",433,601a1ae0ed44cd0524d18ccd7cfa3ccc9e92ce37,POINT (-104.982284 40.52923)
The Emporium Kitchen and Wine Market,Restaurant/Bar,,378 Walnut St,Fort Collins,,"Contact us at 970-492-0024. We are excited to announce our reopening for indoor dining beginning Wednesday, January 6! Join us for brunch on Saturday or Sunday from 8 am - 2 pm, or dinner Wednesday - Saturday from 4 - 9 pm.  We're following the strictest COVID safety policies to keep you healthy. Outdoor dining and takeout/delivery also still available!",,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",411,fca4e2d96642d56c5ef3dbc1efb40bb4b1ca1f96,POINT (-105.074216 40.587277)
Bloom Floral Boutique,Retail,,155 N College Ave STE 130,Fort Collins,,"Contact us at 970-893-2907. We are now open for socially-distanced shopping, Pickup, and Delivery. If you wish to schedule a no-contact consultation, please email us at info@flowersbybloom.com",,,,,,,,,,,,,,,,,,,,,36,90a68c28fbbe5b1697aad4ece9b5ab07ead3756f,POINT (-105.077063 40.588256)
Ginger and Baker,Restaurant/Bar,http://gingerandbaker.com/,359 Linden,Fort Collins,Tues to Fri: 11am - 9pm  Sat & Sun: 9am - 9pm,"Contact us at 970-223-7437. TEMPORARILY CLOSED! We're so looking forward to this brand new year and with that in mind, we're taking a pause in January to recharge and refresh. We're working on deep cleaning, improvements to our spaces and creating mouthwatering new winter menus for the Bakery, Cafe and The Cache. We'll be reopening on Tuesday, February 9!!!",How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,168,0e83ac34d5134822a44a0da740f6b74948916329,POINT (-105.073303 40.589801)
MazTech All-Tech Automotive,Auto,https://all-techautomotive.com/,450 Industrial Dr.,Fort Collins,7:30am-5:00pm,We work on all makes and models and do everything from oil change to engine replacement.,Like us on social media,,,,,,true,true,true,,,,,,,,,,Gift Cards,"Delivery, Take-Out",262,cc1584131ab068d6f5bc3c0538477a053836578d,POINT (-105.039347 40.582421000000004)
Flood and Peterson,Business & Professional,http://www.FloodPeterson.com,4821 Wheaton Drive,Fort Collins,9:00 am-5:00 pm,,Please rate and like us on social media! @floodandpeterson https://www.facebook.com/floodandpeterson,,,,,,,,,,,,,,,,,,,,146,23175881827c1061d1d633c00142ddef63be4e3e,POINT (-105.05441600000002 40.519494)
Big Al's Burgers & Dogs,Restaurant/Bar,,140 W Mountain Ave,Fort Collins,,"Contact us at 970-232-9815. Now open for Dine-in. Open seven days a week from 11 am-8pm. Offering Delivery (NOCO NOSh, DoorDash, Grubhub), Online ordering, Curbside pickup, Walk-in for carryout, Outdoor dining (on nice days)",,,,,,,,,true,,,,,,,,,,,Take-Out,30,d024cc879ee5e89689d313453e8ac046d3c49805,POINT (-105.078138 40.587106)
Cafe Mexicali,Restaurant/Bar,https://www.cafemexicali.com/,2925 S College Ave,Fort Collins,,,,,,,,,,,,,true,true,,true,,,,,,"DoorDash, NoCoNosh, Postmates",51,e7736d7c0f4e47fb96135bb59e59b199abd4415e,POINT (-105.077352 40.54673)
The Crooked Cup,,,147 W. Oak St,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,406,600876fa29259b13b53681a511994ef283eb6762,POINT (-105.078389 40.585636)
Horse & Dragon,Brewery,https://www.horseanddragonbrewing.com/,124 Racquette Drive,Fort Collins,,,,,,,,,,,,,,,,,,,true,,Crowlers,,190,1a394ee12102f09b8851e05f31c1a92ff339660e,POINT (-105.045939 40.589436)
Heart and Soul Paratransit,Health & Wellness,http://heartandsoulparatransit.com/,200 East Swallow Rd.,Fort Collins,5am-6pm,Pay-it-forward. Can pay in increments of $25-$100,Call us for non-medical senior tansport or deliveries,,,true,,,,true,,,,,,,,,,,,"Delivery, Outdoor Recreation",183,3969f61510d410d2cd29052c190d8e83604c8da0,POINT (-105.07556000000001 40.54576500000001)
"AuerCPA Co., P.C.",Business & Professional,,"419 Canyon Ave, Ste 224",Fort Collins,,"Contact us at 970-797-3227. Open, AuerCPA Co is a full-service boutique accounting agency dedicated to helping small businesses, small manufacturers and those in the construction industry navigate our complicated financial world.",,,,,,,,,,,,,,,,,,,,,19,8a3424678dc91b48ef2b0eb2800240030a710a6c,POINT (-105.085276 40.58215700000001)
The Regional,Restaurant/Bar,https://www.theregionalfood.com/,130 S Mason St,Fort Collins,Tue-Sun 11am-8pm,"Contact us at 970-689-3508. SERVING DELICIOUS FOOD IN THREE WAYS: INDOOR & OUTDOOR DINING (AS OF 1/4/21),DELIVERY BY NOCO NOSH AND GRUBHUB, CURBSIDE PICKUP ORDER ONLINE OR CALL",,,,,,,true,true,true,,,,,,,,,,Gift Cards,"Delivery, Take-Out",423,ce50139706c75b91b28317b3d1da683aba6fe8d5,POINT (-105.07886 40.586625)
Mountain Cafe,Restaurant/Bar,http://mountaincafe.restaurantsnapshot.com,226 W Mountain Ave,Fort Collins,7:30 AM - 1:30 PM,,-Let people know we are still open and happy to serve the community  -Rate us on Google and Yelp  -Continue to come in for breakfast/lunch,,true,,,,true,,true,,,,,,,,,,Gift Cards,"Outdoor Dining, Take-Out",273,96f35b67b41f88abf9c6684851db99848fe7e656,POINT (-105.080157 40.587123)
Slyce Pizza Co.,Restaurant/Bar,,163 Mountain Ave,Fort Collins,,"Contact us at 970-221-9000. Slyce Pizza Co.  Is currently open for to go, and delivery. We are selling pizza by the slice as well as 12"" and 20"" pizzas. We are also selling our delicious house made brownies and salads too. We ask that you have a mask on when you come in and are asking you to take all orders to go. Walk in, order a slice and we will box it up! Due to current health code regulations we do not meet many of the requirements to entertain dine-in guests at this time. We are exploring a few options that will work for us and keeping your safety and the safety of our staff in mind.",,,,,,,,true,,,,,,,,,,,,Delivery,374,144aecdc9b20a43d962dc0ed4d873df2671f5e1d,POINT (-105.078625 40.586963)
Outreach Fort Collins,,,,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,306,4d403df935aa263bbdefbdc154128cda93587137,POINT (-105.082459 40.588972)
Jax Liqour,Liquor Store,http://jaxliquor.com,1581 Taft Avenue,Loveland,10am-11:30pm,5% discount thru website orders code: 2231904,,,,,,,,true,true,true,,,,,,,,,,"Delivery, Order Online, Take-Out",210,ebd9f91c411540e8f52a6f8f763566a9f7fd8018,POINT (-105.096947 40.408926)
Pour Brothers - Make Pour Choices,Restaurant/Bar,http://pourbrothers.com/drinks,220 Linden,Fort Collins,Mon:  closed Tues-Weds: 2:00 pm - 7:00 pm Thu: 2:00 pm - 8:00 am Friday: 12:00 pm - 8:00  pm Saturday: 11:00 am - 8:00 pm Sun: 11:00 am - 6:00pm,Contact us at 970-493-4368. Pour Brothers Community Tavern has inside dining available (based on allowable capacity restrictions) along with outside dining at fire bowl tables with patio heaters under the canopy! Prefer your drinks and bites to go? No problem! We are happy to do that too. Hours are variable with the changing regulations.,How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,327,b015134f5d25df0d9d6f01468378383b259a6f8a,POINT (-105.074844 40.588447)
Dementia-Friendly Communities of Northern Colorado,"Family, Community, and Non-Profit",,8403 Castaway Dr,Windsor,,Contact us at 970-213-4548. We are offering remote activities! View details at https://dementiafriendlycommunitiesnoco.org/living-with-dementia/programs-activities/,,,,,,,,,,,,,,,,,,,,,107,b6ef108c8166a8448a8ab3853caac3bcf560d7e1,POINT (-104.981252 40.466025)
Lima Coffee Roasters,Restaurant/Bar,http://www.limacoffeeroasters.com/,"215 E Foothills Pkwy, kiosk 1A",Fort Collins,"Mon- Sat 8am-7pm, Sunday 11am-6pm",,"Please come by and order a coffee or local pastry, the Foothills Mall is still open and there is plenty of spacious and safe seating in the Mall. If you're not able to visit us, you can order our beans on our website. Please also follow us on our Instagram & Facebook where we will always keep you updated @limacoffeeroasters. Thank you for your continued support!",,,,,,true,,true,true,,,,,,,,,Gift Cards,"Order Online, Take-Out",239,ba8235efe8f9c7747286962a572a830301a0ec5b,POINT (-105.075057 40.543667)
